date,f
2017-01-01,-0.03162905714285714
2017-01-02,-0.02885642857142857
2017-01-03,-0.026083799999999997
2017-01-04,-0.025326085714285712
2017-01-05,-0.024568371428571427
2017-01-06,-0.023810657142857142
2017-01-07,-0.023052942857142857
2017-01-08,-0.02229522857142857
2017-01-09,-0.021537514285714286
2017-01-10,-0.0207798
2017-01-11,-0.017849511785714287
2017-01-12,-0.014919223571428573
2017-01-13,-0.011988935357142858
2017-01-14,-0.009058647142857144
2017-01-15,-0.0061283589285714285
2017-01-16,-0.0031980707142857147
2017-01-17,-2.677825e-4
2017-01-18,0.0032671007142857146
2017-01-19,0.006801983928571429
2017-01-20,0.010336867142857142
2017-01-21,0.013871750357142859
2017-01-22,0.017406633571428572
2017-01-23,0.020941516785714286
2017-01-24,0.024476400000000002
2017-01-25,0.024001507142857145
2017-01-26,0.023526614285714287
2017-01-27,0.02305172142857143
2017-01-28,0.022576828571428575
2017-01-29,0.022101935714285717
2017-01-30,0.02162704285714286
2017-01-31,0.02115215
2017-02-01,0.0220202
2017-02-02,0.022888250000000002
2017-02-03,0.0237563
2017-02-04,0.02462435
2017-02-05,0.0254924
2017-02-06,0.02636045
2017-02-07,0.0272285
2017-02-08,0.02861147857142857
2017-02-09,0.02999445714285714
2017-02-10,0.031377435714285716
2017-02-11,0.03276041428571429
2017-02-12,0.03414339285714286
2017-02-13,0.03552637142857143
2017-02-14,0.03690935
2017-02-15,0.036798864285714286
2017-02-16,0.03668837857142857
2017-02-17,0.03657789285714286
2017-02-18,0.03646740714285714
2017-02-19,0.03635692142857143
2017-02-20,0.036246435714285714
2017-02-21,0.03613595
2017-02-22,0.03741507857142857
2017-02-23,0.038694207142857144
2017-02-24,0.03997333571428571
2017-02-25,0.04125246428571429
2017-02-26,0.04253159285714286
2017-02-27,0.043810721428571425
2017-02-28,0.04508985
2017-03-01,0.044289242857142856
2017-03-02,0.04348863571428571
2017-03-03,0.04268802857142857
2017-03-04,0.04188742142857143
2017-03-05,0.041086814285714285
2017-03-06,0.04028620714285714
2017-03-07,0.039485599999999996
2017-03-08,0.04058887142857143
2017-03-09,0.04169214285714285
2017-03-10,0.04279541428571428
2017-03-11,0.043898685714285714
2017-03-12,0.045001957142857145
2017-03-13,0.04610522857142857
2017-03-14,0.0472085
2017-03-15,0.045787942857142855
2017-03-16,0.044367385714285716
2017-03-17,0.04294682857142857
2017-03-18,0.04152627142857143
2017-03-19,0.040105714285714286
2017-03-20,0.03868515714285715
2017-03-21,0.0372646
2017-03-22,0.03765817142857143
2017-03-23,0.038051742857142856
2017-03-24,0.03844531428571429
2017-03-25,0.03883888571428572
2017-03-26,0.03923245714285715
2017-03-27,0.03962602857142857
2017-03-28,0.0400196
2017-03-29,0.03878245714285714
2017-03-30,0.03754531428571429
2017-03-31,0.03630817142857143
2017-04-01,0.035071028571428575
2017-04-02,0.033833885714285715
2017-04-03,0.03259674285714286
2017-04-04,0.0313596
2017-04-05,0.031229357142857146
2017-04-06,0.031099114285714286
2017-04-07,0.03096887142857143
2017-04-08,0.03083862857142857
2017-04-09,0.030708385714285715
2017-04-10,0.030578142857142856
2017-04-11,0.0304479
2017-04-12,0.030886457142857142
2017-04-13,0.031325014285714284
2017-04-14,0.031763571428571426
2017-04-15,0.032202128571428575
2017-04-16,0.032640685714285717
2017-04-17,0.03307924285714286
2017-04-18,0.0335178
2017-04-19,0.032488192857142856
2017-04-20,0.03145858571428572
2017-04-21,0.030428978571428573
2017-04-22,0.02939937142857143
2017-04-23,0.028369764285714288
2017-04-24,0.027340157142857147
2017-04-25,0.026310550000000002
2017-04-26,0.026300535714285717
2017-04-27,0.02629052142857143
2017-04-28,0.026280507142857144
2017-04-29,0.026270492857142856
2017-04-30,0.02626047857142857
2017-05-01,0.026250464285714283
2017-05-02,0.02624045
2017-05-03,0.025335214285714284
2017-05-04,0.02442997857142857
2017-05-05,0.023524742857142858
2017-05-06,0.022619507142857143
2017-05-07,0.02171427142857143
2017-05-08,0.020809035714285714
2017-05-09,0.0199038
2017-05-10,0.02033100714285714
2017-05-11,0.020758214285714286
2017-05-12,0.021185421428571428
2017-05-13,0.02161262857142857
2017-05-14,0.022039835714285715
2017-05-15,0.022467042857142856
2017-05-16,0.022894249999999998
2017-05-17,0.02351015714285714
2017-05-18,0.024126064285714285
2017-05-19,0.024741971428571426
2017-05-20,0.02535787857142857
2017-05-21,0.025973785714285713
2017-05-22,0.026589692857142855
2017-05-23,0.0272056
2017-05-24,0.024767085714285715
2017-05-25,0.022328571428571427
2017-05-26,0.019890057142857142
2017-05-27,0.017451542857142857
2017-05-28,0.01501302857142857
2017-05-29,0.012574514285714286
2017-05-30,0.010136
2017-05-31,0.010140692857142856
2017-06-01,0.010145385714285714
2017-06-02,0.010150078571428571
2017-06-03,0.010154771428571428
2017-06-04,0.010159464285714286
2017-06-05,0.010164157142857143
2017-06-06,0.01016885
2017-06-07,0.008819159714285714
2017-06-08,0.0074694694285714295
2017-06-09,0.006119779142857143
2017-06-10,0.004770088857142858
2017-06-11,0.003420398571428572
2017-06-12,0.0020707082857142865
2017-06-13,7.210179999999999e-4
2017-06-14,0.001309691857142857
2017-06-15,0.001898365714285714
2017-06-16,0.002487039571428571
2017-06-17,0.0030757134285714282
2017-06-18,0.0036643872857142854
2017-06-19,0.004253061142857142
2017-06-20,0.004841735
2017-06-21,0.004318627142857143
2017-06-22,0.0037955192857142854
2017-06-23,0.0032724114285714286
2017-06-24,0.0027493035714285714
2017-06-25,0.002226195714285714
2017-06-26,0.001703087857142857
