econ_index,econ_index_se,f_gdp,f_gdp_se,f_potus,f_potus_se
-0.2129685,0.16065225901514626,1.76342,0.40415837923040027,-0.00746749,0.025456666140830236
-0.2210075,0.20076346770138964,1.7031999999999998,0.46669901487289894,-0.009578070000000001,0.027308796876102763
-0.223438,0.172611886304356,1.71187,0.43811807018729987,-0.010134299999999999,0.025814875624691803
-0.2260215,0.18619841436262158,1.708385,0.5242557515999475,-0.0116687,0.026567454051436384
-0.231763,0.17251157702896588,1.69013,0.46190725953316003,-0.0120455,0.02596850605847558
-0.2435705,0.17977254265402,1.6277650000000001,0.4653820472039356,-0.012784750000000001,0.026547372329200358
-0.247087,0.17338844106307483,1.622865,0.49677791270408556,-0.013736350000000001,0.02703876518613188
-0.254782,0.180079582955009,1.54696,0.5309682517047222,-0.0159697,0.027741241544473157
-0.2976455,0.2254797438135995,1.363475,0.5711019175220984,-0.0206512,0.030118743390160147
-0.30680050000000003,0.25324017649004177,1.33106,0.5975224923089044,-0.02126655,0.03154791117315931
-0.3141205,0.2634194257041755,1.299805,0.6147198175989189,-0.023188149999999998,0.031895820422779185
-0.356023,0.30362840429638693,1.12707,0.7163418083607561,-0.030397,0.034627513712279234
-0.41949400000000003,0.38440437942001016,0.8750175,0.8371994634868822,-0.0373133,0.038843241966188165
-0.4736335,0.4182023725857498,0.5894565,0.8778103665417358,-0.04487785,0.0414990200110291
-0.501028,0.41472540845463185,0.46451,0.8970583232496384,-0.04739855,0.041013691752016614
-0.5584715,0.4545537002638513,0.24503,0.995122208867042,-0.0524692,0.0465955666424993
-0.5812569999999999,0.4564634984583237,0.116402,1.0636652546754413,-0.0578751,0.04858553777365462
-0.609154,0.4618487206841878,0.011527349999999999,1.0464361813295002,-0.0610804,0.048015894927229866
-0.6273825,0.4594339931532293,-0.08289740000000001,1.0934020236107873,-0.06515794999999999,0.04986220372709162
-0.6452834999999999,0.4722475196245696,-0.152005,1.11690635436054,-0.06823465,0.05019390040037686
-0.6715135000000001,0.5232968025145074,-0.2767675,1.1532638007105414,-0.07065855,0.05122186233941922
-0.7112229999999999,0.5379908070164164,-0.437187,1.2145697207270905,-0.07602585,0.05514392438958478
-0.7496015,0.5077148409911317,-0.5376395,1.2368968241792342,-0.07853189999999999,0.05517365879360072
-0.7892115,0.5506758984775557,-0.6920475,1.300677499919009,-0.0856477,0.057739511255575984
-0.7975840000000001,0.5977974570406575,-0.7490920000000001,1.3296888521016377,-0.0880276,0.05885625221916333
-0.7993055,0.5945699899299041,-0.764108,1.3711207537363865,-0.0900069,0.05974622454221286
-0.8222855,0.6258624778790035,-0.8464085,1.3605883270877346,-0.0908393,0.060266247704547984
-0.8318955,0.6181732712180299,-0.887751,1.3697839914163752,-0.09030845,0.06108116343456317
-0.8219555000000001,0.6045956776809245,-0.844604,1.3660341356043306,-0.08769155000000001,0.06141308108574693
-0.8015369999999999,0.5732893708815886,-0.7798525,1.3568263278526822,-0.086616,0.0612941861337396
-0.8076325,0.6065241091046756,-0.8172545,1.362804782769659,-0.08857975000000001,0.061996978875730406
-0.784367,0.5783989618933855,-0.7132955,1.3140584178317032,-0.086962,0.0588772096154206
-0.7726580000000001,0.5787801498919224,-0.6752294999999999,1.296641043717903,-0.08576125,0.058139643270027734
-0.74346,0.5638820569933853,-0.5440405,1.255966360571207,-0.08150775,0.05581389780405488
-0.7183995,0.5601042040840012,-0.465503,1.223215752940541,-0.07825995,0.05448793690471026
-0.7061965,0.6027996784869617,-0.4088895,1.203589486549443,-0.07483675000000001,0.05378141964304173
-0.6745384999999999,0.5640496950049113,-0.281383,1.1854052538869244,-0.07003685000000001,0.05340774057462146
-0.646002,0.5165293609847585,-0.175612,1.1272070995603944,-0.067076,0.05103423809240199
-0.604142,0.5020721203806647,0.005437435,1.1066815982394758,-0.060125700000000004,0.05032464031641642
-0.5230115,0.44474266369549104,0.3773495,0.9495388930354194,-0.0537291,0.04300973812712709
-0.491024,0.39964945155322934,0.5171905,0.871669003992324,-0.0471659,0.04031159676920333
-0.4564815,0.38593484831006003,0.6742355,0.8120392532696493,-0.0411125,0.03809301697580469
-0.392836,0.35811884700799546,0.9461094999999999,0.7523499186386539,-0.0340888,0.036047864599273845
-0.34460999999999997,0.29744236298836996,1.135055,0.6720082089909232,-0.02529855,0.03341168782292358
-0.3193975,0.2718510661372083,1.237695,0.605636373402547,-0.02162895,0.030871396222412473
-0.274505,0.23493731054397654,1.466235,0.5210757802368827,-0.0176328,0.028171953240060253
-0.260932,0.1875544730886251,1.5438800000000001,0.5085268384028282,-0.0151607,0.02773068569209297
-0.2217805,0.1873288813614474,1.7037849999999999,0.4375530395102414,-0.010062149999999999,0.026216986547078085
-0.20432899999999998,0.17763194403482985,1.770085,0.4211041787300655,-0.00833098,0.025864522079704386
-0.191643,0.15527388780424947,1.8651550000000001,0.3766823612505273,-0.0062009149999999996,0.024713701923696832
-0.186089,0.1478065370230434,1.8949449999999999,0.3709426040589673,-0.00497283,0.02470100857320925
-0.178372,0.14631447973622658,1.8909,0.40194417178534236,-0.0050282899999999995,0.025508576926864635
-0.1517115,0.14134773738656367,2.0255549999999998,0.3457982720512877,-0.00380178,0.022901411601464184
-0.1349595,0.12927702860006315,2.0869799999999996,0.3215143465075828,-5.85749e-4,0.022202498297559766
-0.13763599999999998,0.1531778666952897,2.0942,0.31067840863485385,-5.18626e-4,0.022186105168667383
-0.122984,0.14409375390098478,2.165025,0.31018022357697334,0.001109695,0.02171035233664756
